Icon10k	e951
SurroundSound	e049
SwapCalls	e0d7
SwapDrivingApps	e69e
SwapDrivingAppsWheel	e69f
SwapHoriz	e8d4
SwapHorizontalCircle	e933
SwapVert	e8d5
SwapVerticalCircle	e8d6
Sweep	e6ac
Swipe	e9ec
SwipeDown	eb53
SwipeDownAlt	eb30
SwipeLeft	eb59
SwipeLeft2	fff94
SwipeLeftAlt	eb33
SwipeRight	eb52
SwipeRight2	fff93
SwipeRightAlt	eb56
SwipeUp	eb2e
SwipeUpAlt	eb35
SwipeVertical	eb51
Switch	e1f4
SwitchAccess	f6fd
SwitchAccess2	f506
SwitchAccess3	f34d
SwitchAccessShortcut	e7e1
SwitchAccessShortcutAdd	e7e2
SwitchAccount	e9ed
SwitchCamera	e41e
SwitchLeft	f1d1
SwitchOff	fff6f
SwitchRight	f1d2
SwitchVideo	e41f
Switches	e733
SwordRose	f5de
Swords	f889
Symptoms	e132
Synagogue	eab0
Sync	e627
SyncAlt	ea18
SyncArrowDown	f37c
SyncArrowUp	f37b
SyncDesktop	f41a
SyncDisabled	e628
SyncLock	eaee
SyncProblem	e629
SyncSavedLocally	f820
SyncSavedLocallyOff	f264
Syringe	e133
SystemSecurityUpdate	f2cd
SystemSecurityUpdateGood	f073
SystemSecurityUpdateWarning	f2d3
SystemUpdate	f2cd
SystemUpdateAlt	e8d7
Tab	e8d8
TabClose	f745
TabCloseInactive	f3d0
TabCloseRight	f746
TabDuplicate	f744
TabGroup	f743
TabInactive	f43b
TabMove	f742
TabNewRight	f741
TabRecent	f740
TabSearch	f2f2
TabUnselected	e8d9
Table	f191
TableBar	ead2
TableChart	e265
TableChartView	f6ef
TableConvert	f3c7
TableEdit	f3c6
TableEye	f466
TableLamp	e1f2
TableLarge	f299
TableRestaurant	eac6
TableRows	f101
TableRowsNarrow	f73f
TableSign	ef2c
TableView	f1be
Tablet	e32f
TabletAndroid	e330
TabletCamera	f44d
TabletMac	e331
Tabs	e9ee
Tactic	f564
Tag	e9ef
TagFaces	ea22
TakeoutDining	ea74
TakeoutDining2	ef34
TamperDetectionOff	e82e
TamperDetectionOn	f8c8
TapAndPlay	f2cc
Tapas	f1e9
Target	e719
TargetCheck	ffeb3
Task	f075
TaskAlt	e2e6
TatamiSeat	ef33
Taunt	f69f
TaxiAlert	ef74
TeamDashboard	e013
TempPreferencesCustom	f8c9
TempPreferencesEco	f8ca
TempleBuddhist	eab3
TempleHindu	eaaf
Tenancy	f0e3
Terminal	eb8e
Terminal2	fff8e
TerminalAdd	ffed3
Terrain	e564
TextAd	e728
TextAdOff	fff92
TextCompare	f3c5
TextDecrease	eadd
TextFields	e262
TextFieldsAlt	e9f1
TextFormat	e165
TextIncrease	eae2
TextRotateUp	e93a
TextRotateVertical	e93b
TextRotationAngledown	e93c
TextRotationAngleup	e93d
TextRotationDown	e93e
TextRotationNone	e93f
TextSelectEnd	f73e
TextSelectJumpToBeginning	f73d
TextSelectJumpToEnd	f73c
TextSelectMoveBackCharacter	f73b
TextSelectMoveBackWord	f73a
TextSelectMoveDown	f739
TextSelectMoveForwardCharacter	f738
TextSelectMoveForwardWord	f737
TextSelectMoveUp	f736
TextSelectStart	f735
TextSnippet	f1c6
TextToSpeech	f1bc
TextUp	f49e
Textsms	e625
Texture	e421
TextureAdd	f57c
TextureMinus	f57b
TheaterComedy	ea66
Theaters	e8da
Thermometer	e846
ThermometerAdd	f582
ThermometerAlert	ffffb
ThermometerGain	f6d8
ThermometerLoss	f6d7
ThermometerMinus	f581
Thermostat	f076
ThermostatArrowDown	f37a
ThermostatArrowUp	f379
ThermostatAuto	f077
ThermostatCarbon	f178
ThingsToDo	eb2a
ThreadUnread	f4f9
ThreatIntelligence	eaed
ThumbDown	f578
ThumbDownAlt	f578
ThumbDownFilled	f578
ThumbDownOff	f578
ThumbDownOffAlt	f578
ThumbUp	f577
ThumbUpAlt	f577
ThumbUpFilled	f577
ThumbUpOff	f577
ThumbUpOffAlt	f577
ThumbnailBar	f734
ThumbsUpDouble	eefc
ThumbsUpDown	e8dd
Thunderstorm	ebdb
Tibia	f89b
TibiaAlt	f89c
TileLarge	f3c3
TileMedium	f3c2
TileSmall	f3c1
TiltArrowDown	fff26
TiltArrowUp	fff25
TimeAuto	f0e4
TimeToLeave	eff7
Timelapse	e422
Timeline	e922
Timer	e425
Timer1	f2af
Timer10	e423
Timer10Alt1	efbf
Timer10Select	f07a
Timer2	f2ae
Timer3	e424
Timer3Alt1	efc0
Timer3Select	f07b
Timer5	f4b1
Timer5Shutter	f4b2
TimerArrowDown	f378
TimerArrowUp	f377
TimerOff	e426
TimerPause	f4bb
TimerPlay	f4ba
TipsAndUpdates	e79a
TireRepair	ebc8
Title	e264
Titlecase	f489
Toast	efc1
Toc	e8de
Today	e8df
ToggleOff	e9f5
ToggleOn	e9f6
Token	ea25
Toll	e8e0
Tonality	e427
Tonality2	f2b4
Toolbar	e9f7
ToolsFlatHead	f8cb
ToolsInstallationKit	e2ab
ToolsLadder	e2cb
ToolsLevel	e77b
ToolsPhillips	f8cc
ToolsPliersWireStripper	e2aa
ToolsPowerDrill	e1e9
ToolsWrench	f8cd
Tooltip	e9f8
Tooltip2	f3ed
TopPanelClose	f733
TopPanelOpen	f732
Topic	f1c8
Tornado	e199
TotalDissolvedSolids	f877
TouchApp	e913
TouchDouble	f38b
TouchDouble2	fff35
TouchLong	f38a
TouchTriple	f389
TouchpadMouse	f687
TouchpadMouseOff	f4e6
Tour	ef75
Toys	e332
ToysAndGames	efc2
ToysFan	f887
TrackChanges	e8e1
TrackpadInput	f4c7
TrackpadInput2	f409
TrackpadInput3	f408
Traffic	e565
TrafficJam	f46f
TrailLength	eb5e
TrailLengthMedium	eb63
TrailLengthShort	eb6d
Train	e570
Tram	e571
Transcribe	f8ec
TransferWithinAStation	e572
Transform	e428
Transgender	e58d
TransitEnterexit	e579
TransitTicket	f3f1
TransitionChop	f50e
TransitionDissolve	f50d
TransitionFade	f50c
TransitionPush	f50b
TransitionSlide	f50a
Translate	e8e2
TranslateIndic	f263
Transportation	e21d
Travel	ef93
TravelExplore	e2db
TravelLuggageAndBags	efc3
TrendingDown	e8e3
TrendingFlat	e8e4
TrendingUp	e8e5
TriangleCircle	eec6
Trip	e6fb
TripOrigin	e57b
Trolley	f86b
TrolleyCableCar	f46e
Trophy	ea23
Troubleshoot	e1d2
Try	f07c
Tsunami	ebd8
Tsv	e6d6
Tty	f1aa
Tune	e429
Tungsten	f07d
TurnLeft	eba6
TurnRight	ebab
TurnSharpLeft	eba7
TurnSharpRight	ebaa
TurnSlightLeft	eba4
TurnSlightRight	eb9a
TurnedIn	e8e7
TurnedInNot	e8e7
Tv	e63b
TvDisplays	f3ec
TvGen	e830
TvGuide	e1dc
TvNext	f3eb
TvOff	e647
TvOptionsEditChannels	e1dd
TvOptionsInputSettings	e1de
TvRemote	f5d9
TvSignin	e71b
TvWithAssistant	e785
TwoPager	f51f
TwoPagerStore	f3c4
TwoWheeler	e9f9
TypeSpecimen	f8f0
UTurnLeft	eba1
UTurnRight	eba2
Udon	ef32
UlnaRadius	f89d
UlnaRadiusAlt	f89e
Umbrella	f1ad
Unarchive	e169
Undereye	eeb1
Undo	e166
UnfoldLess	e5d6
UnfoldLessDouble	f8cf
UnfoldMore	e5d7
UnfoldMoreDouble	f8d0
Ungroup	f731
UniversalCurrency	e9fa
UniversalCurrencyAlt	e734
UniversalLocal	e9fb
Unknown2	f49f
Unknown5	e6a5
Unknown7	f49e
UnknownDocument	f804
UnknownMed	eabd
Unlicense	eb05
UnpavedRoad	f46d
Unpin	e6f9
Unpublished	f236
Unsubscribe	e0eb
Upcoming	f07e
Update	e923
UpdateDisabled	e075
Upgrade	f0fb
UpiPay	f3cf
Upload	f09b
Upload2	f521
UploadFile	e9fc
Uppercase	f488
Urology	e137
Usb	e1e0
UsbOff	e4fa
UserAttributes	e708
Vaccines	e138
Vacuum	efc5
Vacuum2	fff6d
Vacuum2On	fff6e
Valve	e224
VapeFree	ebc6
VapingRooms	ebcf
VariableAdd	f51e
VariableInsert	f51d
VariableRemove	f51c
Variables	f851
Ventilator	e139
Verified	ef76
VerifiedOff	f30e
VerifiedUser	f013
VerticalAlignBottom	e258
VerticalAlignCenter	e259
VerticalAlignTop	e25a
VerticalDistribute	e076
VerticalShades	ec0e
VerticalShadesClosed	ec0d
VerticalSplit	e949
Vibration	f2cb
VideoCall	e070
VideoCameraBack	f07f
VideoCameraBackAdd	f40c
VideoCameraFront	f080
VideoCameraFrontOff	f83b
VideoChat	f8a0
VideoFile	eb87
VideoFrameCopy	fff0d
VideoFrameSave	fff0c
VideoLabel	e071
VideoLibrary	e04a
VideoSearch	efc6
VideoSettings	ea75
VideoStable	f081
VideoTemplate	fffd3
Videocam	e04b
VideocamAlert	f390
VideocamOff	e04c
VideogameAsset	e338
VideogameAssetOff	e500
ViewAgenda	e8e9
ViewApps	f376
ViewArray	e8ea
ViewCarousel	e8eb
ViewColumn	e8ec
ViewColumn2	f847
ViewComfy	e42a
ViewComfyAlt	eb73
ViewCompact	e42b
ViewCompactAlt	eb74
ViewCozy	eb75
ViewDay	e8ed
ViewHeadline	e8ee
ViewInAr	efc9
ViewInArNew	efc9
ViewInArOff	f61b
ViewKanban	eb7f
ViewList	e8ef
ViewModule	e8f0
ViewObjectTrack	f432
ViewQuilt	e8f1
ViewRealSize	f4c2
ViewSidebar	f114
ViewStream	e8f2
ViewTimeline	eb85
ViewWeek	e8f3
Vignette	e435
Vignette2	f2b3
Villa	e586
Visibility	e8f4
VisibilityLock	f653
VisibilityOff	e8f5
VitalSigns	e650
Vitals	e13b
Vo2Max	f4aa
VoiceChat	e62e
VoiceChatOff	eebe
VoiceOverOff	e94a
VoiceSelection	f58a
VoiceSelectionOff	f42c
Voicemail	e0d9
Voicemail2	f352
Volcano	ebda
VolumeDown	e04d
VolumeDownAlt	e79c
VolumeMute	e04e
VolumeOff	e04f
VolumeUp	e050
VolunteerActivism	ea70
VotingChip	f852
VpnKey	e0da
VpnKeyAlert	f6cc
VpnKeyOff	eb7a
VpnLock	e62f
VpnLock2	f350
Vr180Create2d	efca
Vr180Create2dOff	f571
Vrpano	f082
WalkBike	fff01
WallArt	efcb
WallLamp	e2b4
Wallet	f8ff
Wallpaper	e1bc
WallpaperSlideshow	f672
WandShine	f31f
WandStars	f31e
Ward	e13c
Warehouse	ebb8
Warning	f083
WarningAmber	f083
WarningOff	f7ad
Wash	f1b1
Washoku	f280
Watch	e334
WatchAlert	fffd1
WatchArrow	f2ca
WatchArrowDown	fffcf
WatchButton	fff20
WatchButtonPress	f6aa
WatchCheck	f468
WatchLater	efd6
WatchLock	eee9
WatchOff	eae3
WatchScreentime	f6ae
WatchVibration	f467
WatchWake	f6a9
Water	f084
WaterBottle	f69d
WaterBottleLarge	f69e
WaterDamage	f203
WaterDo	f870
WaterDrop	e798
WaterDrops	fffa5
WaterEc	f875
WaterFull	f6d6
WaterHeater	e284
WaterLock	f6ad
WaterLoss	f6d5
WaterLux	f874
WaterMedium	f6d4
WaterOrp	f878
WaterPh	f87a
WaterPump	f5d8
WaterVoc	f87b
WaterfallChart	ea00
Waves	e176
WavingHand	e766
WbAuto	e42c
WbCloudy	f15c
WbIncandescent	e42e
WbIridescent	f07d
WbShade	ea01
WbSunny	e430
WbTwilight	e1c6
WbTwilight2	fff1f
Wc	e63d
WeatherHail	f67f
WeatherMix	f60b
WeatherSnowy	e2cd
Web	e66a
WebAsset	e069
WebAssetOff	ef47
WebStories	e595
WebTraffic	ea03
Webhook	eb92
Weekend	e16b
Weight	e13d
West	f1e6
Whatshot	e80e
Wheat	fffa4
WheelchairPickup	f1ab
WhereToVote	e177
WidgetMedium	f3ba
WidgetMenu	eeb7
WidgetSmall	f3b9
WidgetWidth	f3b8
Widgets	e1bd
Width	f730
WidthFull	f8f5
WidthNormal	f8f6
WidthWide	f8f7
Wifi	e63e
Wifi1Bar	e4ca
Wifi2Bar	e4d9
WifiAdd	f7a8
WifiCalling	ef77
WifiCalling1	f0e7
WifiCalling2	f0f6
WifiCalling3	f0e7
WifiCallingBar1	f44c
WifiCallingBar2	f44b
WifiCallingBar3	f44a
WifiChannel	eb6a
WifiDevice	fff34
WifiFind	eb31
WifiHome	f671
WifiLock	e1e1
WifiNotification	f670
WifiOff	e648
WifiPassword	eb6b
WifiProtectedSetup	f0fc
WifiProxy	f7a7
WifiTethering	e1e2
WifiTetheringError	ead9
WifiTetheringOff	f087
WindPower	ec0c
Window	f088
WindowClosed	e77e
WindowOpen	e78c
WindowSensor	e2bb
WindshieldDefrostAuto	f248
WindshieldDefrostFront	f32a
WindshieldDefrostRear	f329
WindshieldHeatFront	f328
WineBar	f1e8
Woman	e13e
Woman2	f8e7
Work	e943
WorkAlert	f5f7
WorkHistory	ec09
WorkOff	e942
WorkOutline	e943
WorkUpdate	f5f8
Workflow	ea04
WorkspacePremium	e7af
Workspaces	ea0f
WorkspacesOutline	ea0f
WoundsInjuries	e13f
WrapText	e25b
Wrist	f69c
WrongLocation	ef78
Wysiwyg	f1c3
XCircle	e349
YCircle	eec5
Yakitori	ef31
Yard	f089
Yoshoku	f27f
YourTrips	eb2b
YoutubeActivity	f85a
YoutubeSearchedFor	e8fa
ZonePersonAlert	e781
ZonePersonIdle	e77a
ZonePersonUrgent	e788
ZoomIn	e8ff
ZoomInMap	eb2d
ZoomOut	e900
ZoomOutMap	e56b
